model,threshold,precision_mean,precision_var,recall_mean,recall_var,f1_mean,f1_var,pos_acc_mean,neg_acc_mean,mcc
all-mpnet-base-v2,0.29999999999999993,0.011742472138968535,0.0,0.9579035405631446,0.0,0.023200540175557057,0.0,0.9579035405631446,0.8997557131135294,0.10010567969885097
all-mpnet-base-v2,0.30999999999999994,0.013321194861380206,0.0,0.9545581265681629,0.0,0.02627570303237268,0.0,0.9545581265681629,0.9120851464768021,0.10719625856747118
all-mpnet-base-v2,0.3199999999999999,0.015117881369825382,0.0,0.951212712573181,0.0,0.029762735519888346,0.0,0.951212712573181,0.9229454613146566,0.11470817621354634
all-mpnet-base-v2,0.32999999999999985,0.017127420535736827,0.0,0.9456370225815445,0.0,0.03364545310268211,0.0,0.9456370225815445,0.9325228106823428,0.12238039306152679
all-mpnet-base-v2,0.33999999999999986,0.01941457071012216,0.0,0.9406189015890717,0.0,0.038043907224283156,0.0,0.9406189015890717,0.9409256971986565,0.13055894431986412
all-mpnet-base-v2,0.34999999999999987,0.02204428562983204,0.0,0.9356007805965988,0.0,0.04307368475094015,0.0,0.9356007805965988,0.9483891520953658,0.13932800648821198
all-mpnet-base-v2,0.3599999999999999,0.024983139752716373,0.0,0.9294675216057987,0.0,0.048658391529295006,0.0,0.9294675216057987,0.9548948027245597,0.1483675494875704
all-mpnet-base-v2,0.3699999999999999,0.02834807125464565,0.0,0.9250069696124895,0.0,0.05501027919623317,0.0,0.9250069696124895,0.960576110773894,0.15817272474758035
all-mpnet-base-v2,0.3799999999999999,0.032021308654696753,0.0,0.9183161416225258,0.0,0.061884722326595025,0.0,0.9183161416225258,0.9654819544198872,0.16795060306839768
all-mpnet-base-v2,0.3899999999999999,0.036260535380048954,0.0,0.9127404516308893,0.0,0.0697501011951682,0.0,0.9127404516308893,0.969835232013611,0.1786167338136127
all-mpnet-base-v2,0.3999999999999998,0.040792393826288714,0.0,0.9018678561471982,0.0,0.07805431228963337,0.0,0.9018678561471982,0.9736303970953191,0.18869011573626585
all-mpnet-base-v2,0.4099999999999998,0.04621292753789949,0.0,0.8957345971563981,0.0,0.08789134627220878,0.0,0.8957345971563981,0.9770123509258948,0.20054025592871103
all-mpnet-base-v2,0.4199999999999998,0.05202378230048022,0.0,0.887928631168107,0.0,0.09828881791109259,0.0,0.887928631168107,0.9798812572298969,0.21218707265787792
all-mpnet-base-v2,0.4299999999999998,0.05858067395670609,0.0,0.8781711736827432,0.0,0.1098345508115553,0.0,0.8781711736827432,0.9824516946687776,0.22423912602984544
all-mpnet-base-v2,0.43999999999999984,0.06571857236438941,0.0,0.8670197936994704,0.0,0.12217638970732665,0.0,0.8670197936994704,0.9846733984510818,0.2362817426473475
all-mpnet-base-v2,0.44999999999999984,0.07374079139970724,0.0,0.8567047672149428,0.0,0.13579319487406097,0.0,0.8567047672149428,0.9866191658609856,0.2490684651597817
all-mpnet-base-v2,0.45999999999999985,0.08283943233103148,0.0,0.8494563702258154,0.0,0.15095741782060493,0.0,0.8494563702258154,0.9883056362777293,0.26313699901651383
all-mpnet-base-v2,0.46999999999999986,0.09280128086704846,0.0,0.8402564817396153,0.0,0.16714265908775822,0.0,0.8402564817396153,0.9897861943763752,0.2772408376303102
all-mpnet-base-v2,0.47999999999999976,0.10337999791572584,0.0,0.829662670755506,0.0,0.18385123864829803,0.0,0.829662670755506,0.9910525204673031,0.2909813927061942
all-mpnet-base-v2,0.48999999999999977,0.1158478979688238,0.0,0.8204627822693058,0.0,0.20302852609430513,0.0,0.8204627822693058,0.9922138104767771,0.30653558755427196
all-mpnet-base-v2,0.4999999999999998,0.12884171255995736,0.0,0.8087538332868692,0.0,0.22227330191931963,0.0,0.8087538332868692,0.9932003870042289,0.3211435616487584
all-mpnet-base-v2,0.5099999999999998,0.14253597122302158,0.0,0.7953721773069418,0.0,0.24174893022073465,0.0,0.7953721773069418,0.994050381960417,0.33514041382133714
all-mpnet-base-v2,0.5199999999999998,0.15886845827439885,0.0,0.7828268748257596,0.0,0.26413319537202523,0.0,0.7828268748257596,0.9948462989340744,0.3511932546770104
all-mpnet-base-v2,0.5299999999999998,0.17619410569105692,0.0,0.7733482018399777,0.0,0.28700015519114375,0.0,0.7733482018399777,0.9955039010677975,0.3677629759141405
all-mpnet-base-v2,0.5399999999999998,0.19408106369290157,0.0,0.7568999163646501,0.0,0.30894401456531634,0.0,0.7568999163646501,0.9960918258009521,0.3819856000567509
all-mpnet-base-v2,0.5499999999999998,0.2125681308111574,0.0,0.7393364928909952,0.0,0.3301998381373342,0.0,0.7393364928909952,0.9965944737155006,0.3952166517709217
all-mpnet-base-v2,0.5599999999999997,0.23272694685903755,0.0,0.724003345413995,0.0,0.3522311135223111,0.0,0.724003345413995,0.9970319507280249,0.4093363430418885
all-mpnet-base-v2,0.5699999999999997,0.2557883131201764,0.0,0.7114580429328129,0.0,0.37629017988793867,0.0,0.7114580429328129,0.9974260960237776,0.4255224733445132
all-mpnet-base-v2,0.5799999999999997,0.27870866845397674,0.0,0.695567326456649,0.0,0.39795836988595584,0.0,0.695567326456649,0.9977616568384555,0.4392878917978679
all-mpnet-base-v2,0.5899999999999997,0.3029247044181705,0.0,0.6785614719821578,0.0,0.41886078127688864,0.0,0.6785614719821578,0.9980583924349062,0.45243122727312435
all-mpnet-base-v2,0.5999999999999998,0.32735054535413505,0.0,0.660998048508503,0.0,0.4378578024007387,0.0,0.660998048508503,0.9983111030071171,0.46427032903944254
all-mpnet-base-v2,0.6099999999999998,0.353754030400737,0.0,0.6423194870365208,0.0,0.45623762376237625,0.0,0.6423194870365208,0.9985409344328727,0.47583783017718084
all-mpnet-base-v2,0.6199999999999998,0.38191724842499575,0.0,0.6253136325620295,0.0,0.47420718816067653,0.0,0.6253136325620295,0.9987416469449579,0.4879000877623985
