model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
BERT Base,2,8,7,0.13414330528307525,0.08165615906886518,0.3755227209367159,0.3755227209367159,0.9947485425810381,135,1189
BERT Base,2,8,8,0.12455981487071134,0.07599287950402063,0.3451352104822972,0.3451352104822972,0.9947818213395185,131,1348
BERT Base,2,8,9,0.1162218436494416,0.06999145055571387,0.3423473654864789,0.3423473654864789,0.9943436510195259,124,1369
BERT Base,2,8,10,0.1379668648617445,0.08699767035527083,0.3331474770002788,0.3331474770002788,0.995652615519757,124,1455
BERT Base,2,8,11,0.10866477272727272,0.06462172007813738,0.3412322274881517,0.3412322274881517,0.993858335791686,111,1444
BERT Base,2,9,2,0.13400734417473414,0.08083074444827983,0.39169222191246167,0.39169222191246167,0.9944615132891442,178,613
BERT Base,2,9,3,0.13729274931947538,0.08346371404501143,0.38667410091998883,0.38667410091998883,0.9947201169748361,173,754
BERT Base,2,9,4,0.13777487042721281,0.08405992877317942,0.38165597992751604,0.38165597992751604,0.9948289662473658,154,915
BERT Base,2,9,5,0.14446928563824124,0.08928218961773801,0.37831056593253415,0.37831056593253415,0.9952016190116001,143,1040
BERT Base,2,9,6,0.1255074263336358,0.07572614107883817,0.3663228324505158,0.3663228324505158,0.9944403674113598,141,1126
BERT Base,2,9,7,0.1345667778788798,0.08218585983328187,0.37106216894340677,0.37106216894340677,0.994847338895277,127,1236
BERT Base,2,9,8,0.12219681860193608,0.07401296405421331,0.35015333147477,0.35015333147477,0.9945526832212312,125,1339
BERT Base,2,9,9,0.1142109064644276,0.06813897118233235,0.3526623919710064,0.3526623919710064,0.9940028903988355,120,1310
BERT Base,2,9,10,0.133966072110402,0.0832768208327682,0.3423473654864789,0.3423473654864789,0.9953139348214716,118,1412
BERT Base,2,9,11,0.10871302957633892,0.06465585547514659,0.3412322274881517,0.3412322274881517,0.9938618023290278,110,1452
BERT Base,2,10,2,0.1314593190462937,0.0788492571364977,0.39503763590744356,0.39503763590744356,0.9942614940845274,167,647
BERT Base,2,10,3,0.1363159400934847,0.08222567466482536,0.3983830499024254,0.3983830499024254,0.9944708729399668,157,765
BERT Base,2,10,4,0.1339222111411882,0.08070978820835718,0.39308614441037076,0.39308614441037076,0.994432741029208,142,879
BERT Base,2,10,5,0.14020984496528685,0.08625561978163135,0.3744075829383886,0.3744075829383886,0.995068157323944,136,1056
BERT Base,2,10,6,0.12629506352257278,0.07591298467087466,0.3755227209367159,0.3755227209367159,0.9943159187207923,131,1123
BERT Base,2,10,7,0.02894379471796015,0.015017825780600923,0.3981042654028436,0.3981042654028436,0.9675327579112448,110,987
BERT Base,2,10,8,0.11943010135781221,0.07207571123550119,0.3482018399776972,0.3482018399776972,0.9944258079545246,121,1324
BERT Base,2,10,9,0.11359965073128138,0.06734651620250544,0.36269863395595203,0.36269863395595203,0.9937543396714347,116,1275
BERT Base,2,10,10,0.1347903321311299,0.08352234823215476,0.3490381934764427,0.3490381934764427,0.9952376709999539,115,1405
BERT Base,2,10,11,0.048944080334214865,0.02627842370614261,0.3560078059659883,0.3560078059659883,0.9835970386064797,99,1332
BERT Base,2,11,2,0.12575327897908542,0.0747589694958116,0.3955952049066072,0.3955952049066072,0.9939120671204826,149,658
BERT Base,2,11,3,0.12845867731107685,0.07671054770030879,0.3947588514078617,0.3947588514078617,0.9940919804085175,141,755
BERT Base,2,11,4,0.08991159320333564,0.05065169015576984,0.39977697240033455,0.39977697240033455,0.9906829875866764,126,854
BERT Base,2,11,5,0.1357654590722016,0.08301230272151112,0.37245609144131586,0.37245609144131586,0.9948840841910991,128,1088
BERT Base,2,11,6,0.12540207915714885,0.0752910882221227,0.37496515193755225,0.37496515193755225,0.9942736269652234,123,1157
BERT Base,2,11,7,0.029216949460121586,0.015156586682286982,0.4039587398940619,0.4039587398940619,0.9673615109665642,104,981
BERT Base,2,11,8,0.11913456271681577,0.07122973636810218,0.36381377195427933,0.36381377195427933,0.9941013400593401,113,1311
BERT Base,2,11,9,0.11169889862110832,0.06613607188703466,0.35907443546138834,0.35907443546138834,0.9936954085366255,111,1296
BERT Base,2,11,10,0.13440374288904247,0.0830377085796873,0.3523836074714246,0.3523836074714246,0.9951614071784362,111,1409
BERT Base,2,11,11,0.02310283716251816,0.011891945200075608,0.40340117089489824,0.40340117089489824,0.9583211282331093,85,1080
BERT Base,5,2,2,0.23902983883835965,0.2794776119402985,0.2088095901867856,0.2088095901867856,0.9993306116393151,1056,731
BERT Base,5,2,3,0.2350287120590648,0.18588807785888078,0.31948703652076943,0.31948703652076943,0.9982601449081939,525,925
BERT Base,5,2,4,0.2187120291616039,0.16451068616422948,0.3261778645107332,0.3261778645107332,0.9979401835115538,385,1183
BERT Base,5,2,5,0.21114789299454237,0.155467720685112,0.32896570950655146,0.32896570950655146,0.9977779495639616,316,1393
BERT Base,5,2,6,0.14117375231053605,0.08903460837887067,0.34067465848898804,0.34067465848898804,0.9956657883616555,235,1393
BERT Base,5,2,7,0.17235885001731902,0.11467551622418878,0.3468079174797881,0.3468079174797881,0.9966707375370183,209,1528
BERT Base,5,2,8,0.025649601972458216,0.013280028499614068,0.3741287984388068,0.3741287984388068,0.9654344628583056,148,1212
BERT Base,5,2,9,0.024800691389673824,0.012847858019598769,0.3560078059659883,0.3560078059659883,0.9659873755643089,136,1377
BERT Base,5,2,10,0.02484305362534145,0.012863778933576845,0.36130471145804294,0.36130471145804294,0.9655245928291902,125,1403
BERT Base,5,2,11,0.023710004198076187,0.012256220102465397,0.3621410649567884,0.3621410649567884,0.9637095138770689,119,1415
BERT Base,5,3,2,0.25829758410476406,0.21703661544298994,0.3189294675216058,0.3189294675216058,0.9985693600390748,590,761
BERT Base,5,3,3,0.2369706028898854,0.18439826302729528,0.33147477000278786,0.33147477000278786,0.9981769480119929,481,939
BERT Base,5,3,4,0.21392461197339246,0.1568678459937565,0.33621410649567884,0.33621410649567884,0.9977529904951012,345,1154
BERT Base,5,3,5,0.15965589221329624,0.1032564228440517,0.35182603847226096,0.35182603847226096,0.996200675073482,257,1281
BERT Base,5,3,6,0.14032561745486766,0.08755441918319397,0.35321996097017005,0.35321996097017005,0.9954227840940014,202,1366
BERT Base,5,3,7,0.13330529857022708,0.08214031223683359,0.3534987454697519,0.3534987454697519,0.995088263240526,173,1459
