model,n_components,min_cluster_size,min_samples,f1,precision,recall,pos_acc,neg_acc,n_clusters,n_noise
MPNet-Personality,768,11,4,0.0028402123261273256,0.0014229003580289374,0.7231669919152495,0.7231669919152495,0.368936636203892,2,889
MPNet-Personality,768,11,5,0.14768776993574212,0.11869285472400948,0.1954279342068581,0.1954279342068581,0.9981956673136381,37,3311
MPNet-Personality,768,11,6,0.14469078179696615,0.1244230383303231,0.1728463897407304,0.1728463897407304,0.9984875497578104,33,3399
MPNet-Personality,768,11,7,0.00426741419415796,0.002145747204550746,0.3802620574296069,0.3802620574296069,0.7801133765702981,2,2273
MPNet-Personality,768,11,8,0.005385235982250908,0.0027171908114172897,0.29774184555338723,0.29774184555338723,0.8641169360108406,3,2670
MPNet-Personality,768,11,9,0.09749739311783108,0.09155446756425949,0.10426540284360189,0.10426540284360189,0.9987135679924901,19,3675
MPNet-Personality,768,11,10,0.0864385297845374,0.07924703695096444,0.09506551435740172,0.09506551435740172,0.998626557905213,18,3676
MPNet-Personality,768,11,11,0.007035543343378833,0.0035890914229193163,0.17702815723445775,0.17702815723445775,0.9388884132029315,4,3184
MPNet-Personality,2,2,2,0.07957455190072878,0.13557046979865772,0.0563144689155283,0.0563144689155283,0.9995535099903873,1440,304
MPNet-Personality,2,2,3,0.10769466115955331,0.11932203389830509,0.09813214385280178,0.09813214385280178,0.9990993935986228,807,536
MPNet-Personality,2,2,4,0.12527052832590707,0.11527647610121837,0.13716197379425704,0.13716197379425704,0.998691035499769,575,728
MPNet-Personality,2,2,5,0.129136400322841,0.11010617381046009,0.15611931976582102,0.15611931976582102,0.9984310451991404,452,968
MPNet-Personality,2,2,6,0.147729487429351,0.11355805243445694,0.21131865068302202,0.21131865068302202,0.9979488498549081,364,1024
MPNet-Personality,2,2,7,0.15244975456145227,0.11414701803051318,0.22943964315584053,0.22943964315584053,0.9977859225998476,331,1140
MPNet-Personality,2,2,8,0.1614550667502912,0.11895959862688144,0.25118483412322273,0.25118483412322273,0.9976867796318746,292,1288
MPNet-Personality,2,2,9,0.14945550131430718,0.10228207236842106,0.2773905770839141,0.2773905770839141,0.9969726729394816,246,1289
MPNet-Personality,2,2,10,0.141787456206636,0.09407474931631724,0.2877056035684416,0.2877056035684416,0.9965549551898051,226,1362
MPNet-Personality,2,2,11,0.13874992465794708,0.08851122731467241,0.3208809590186786,0.3208809590186786,0.9958911132888669,189,1315
MPNet-Personality,2,3,2,0.1136608655475127,0.12697866483138334,0.10287148034569278,0.10287148034569278,0.9991205394764072,847,372
MPNet-Personality,2,3,3,0.11243117936829905,0.11704374057315234,0.10816838583774742,0.10816838583774742,0.9989853445200805,736,510
MPNet-Personality,2,3,4,0.12918546663500355,0.1125129265770424,0.15165876777251186,0.15165876777251186,0.9985125088266708,490,715
MPNet-Personality,2,3,5,0.13398268398268398,0.1094993808597205,0.1725676052411486,0.1725676052411486,0.9982549451021814,386,943
MPNet-Personality,2,3,6,0.15261422515308526,0.11525327262379055,0.22581544466127684,0.22581544466127684,0.9978445070809225,305,1026
MPNet-Personality,2,3,7,0.15286952045980956,0.1104089219330855,0.24839698912740452,0.24839698912740452,0.9975113728423838,262,1110
MPNet-Personality,2,3,8,0.15198898160900914,0.10712654179990863,0.2614998606077502,0.2614998606077502,0.9972898611062483,232,1249
MPNet-Personality,2,3,9,0.14614709259134193,0.0964349376114082,0.3016448285475328,0.3016448285475328,0.9964856244429707,192,1228
MPNet-Personality,2,3,10,0.14018747387903754,0.08919617079471205,0.3272930025090605,0.3272930025090605,0.9958443150347538,164,1237
MPNet-Personality,2,3,11,0.13705820599556748,0.0866583081348182,0.3275717870086423,0.3275717870086423,0.995707040156022,152,1304
MPNet-Personality,2,4,2,0.12489158716392021,0.11239964317573595,0.1405073877892389,0.1405073877892389,0.998620318137998,585,389
MPNet-Personality,2,4,3,0.12810304449648713,0.11043811831213406,0.1524951212712573,0.1524951212712573,0.998472643647241,535,438
MPNet-Personality,2,4,4,0.13602187286397813,0.11500674243883645,0.16643434625034847,0.16643434625034847,0.9984074727452168,463,695
MPNet-Personality,2,4,5,0.14095315024232632,0.1104954883647301,0.19459158070811264,0.19459158070811264,0.9980521526676911,356,883
MPNet-Personality,2,4,6,0.15451029768864105,0.11404673393520977,0.23947588514078616,0.23947588514078616,0.9976867796318746,284,1008
MPNet-Personality,2,4,7,0.1526704593699584,0.10976800976800977,0.2506272651240591,0.2506272651240591,0.9974725476241566,248,1127
MPNet-Personality,2,4,8,0.15076157911097296,0.10451459971985777,0.27042096459436854,0.27042096459436854,0.9971189608153018,215,1217
MPNet-Personality,2,4,9,0.14316374195177375,0.09253365973072215,0.3161416225257876,0.3161416225257876,0.9961448638222803,177,1172
MPNet-Personality,2,4,10,0.14053803339517626,0.08871971305175316,0.3378868134931698,0.3378868134931698,0.9956845076633007,157,1198
MPNet-Personality,2,4,11,0.13614374568071874,0.08579516585613704,0.32952327850571506,0.32952327850571506,0.9956338962181117,147,1306
MPNet-Personality,2,5,2,0.1349899968411077,0.10846023688663282,0.1787008642319487,0.1787008642319487,0.9981734814746511,447,423
MPNet-Personality,2,5,3,0.1368250101502233,0.10758180367118915,0.18790075271814888,0.18790075271814888,0.998061858972248,416,497
MPNet-Personality,2,5,4,0.13769222935125777,0.10847240051347883,0.18845832171731253,0.18845832171731253,0.998073991852944,380,687
MPNet-Personality,2,5,5,0.13946559910622847,0.10469667318982387,0.2088095901867856,0.2088095901867856,0.9977796828326324,325,840
MPNet-Personality,2,5,6,0.15282854656222802,0.11109705175249905,0.24477279063284083,0.24477279063284083,0.9975647575174462,273,981
MPNet-Personality,2,5,7,0.15530629853321828,0.10805500982318271,0.27599665458600503,0.27599665458600503,0.9971671456843517,234,1074
MPNet-Personality,2,5,8,0.14761049227452389,0.09943841982958947,0.28631168107053245,0.28631168107053245,0.9967757736184722,199,1188
MPNet-Personality,2,5,9,0.143617346626705,0.09199185080708353,0.3272930025090605,0.3272930025090605,0.9959829765284223,168,1135
MPNet-Personality,2,5,10,0.13442405483086448,0.08383316097897277,0.3390019514914971,0.3390019514914971,0.9953933185265968,150,1183
MPNet-Personality,2,5,11,0.13296720705497175,0.08201954397394137,0.35098968497351546,0.35098968497351546,0.9951153022317915,138,1265
MPNet-Personality,2,6,2,0.15984963751901907,0.11771684682309518,0.24895455812656817,0.24895455812656817,0.9976798465571911,360,429
MPNet-Personality,2,6,3,0.16100495399858458,0.1179214720746404,0.2536938946194592,0.2536938946194592,0.9976403280314956,341,510
MPNet-Personality,2,6,4,0.16305173432357162,0.11692084241103849,0.26930582659604124,0.26930582659604124,0.9974708143554858,309,642
MPNet-Personality,2,6,5,0.1541038525963149,0.10793296089385475,0.26930582659604124,0.26930582659604124,0.9972323165863759,281,735
MPNet-Personality,2,6,6,0.1554513102555807,0.10949071436709581,0.26791190409813215,0.26791190409813215,0.9972905544137167,262,911
MPNet-Personality,2,6,7,0.15339762278537789,0.10480081716036772,0.28603289657095066,0.28603289657095066,0.9969619266737222,220,1042
MPNet-Personality,2,6,8,0.1461967653082845,0.09790011350737798,0.28854195706718705,0.28854195706718705,0.9966939633372077,190,1189
MPNet-Personality,2,6,9,0.1401792991035045,0.08858803620042675,0.3356565374965152,0.3356565374965152,0.9957060001948194,162,1106
MPNet-Personality,2,6,10,0.13436549626762512,0.08380466271209822,0.33872316699191524,0.33872316699191524,0.9953953984490018,148,1193
MPNet-Personality,2,6,11,0.13196300102774922,0.08089208089208089,0.35795929746306104,0.35795929746306104,0.9949426686721741,135,1237
MPNet-Personality,2,7,2,0.161292942418582,0.11379784551913821,0.2768330080847505,0.2768330080847505,0.9973193266736529,297,511
MPNet-Personality,2,7,3,0.1557442717513219,0.10927487352445193,0.2709785335935322,0.2709785335935322,0.9972534624641604,287,563
MPNet-Personality,2,7,4,0.15947656025309176,0.1074508284081,0.309172010036242,0.309172010036242,0.9968066258008135,259,598
MPNet-Personality,2,7,5,0.15322462171294257,0.10401914829959111,0.29077223306384165,0.29077223306384165,0.9968856628522045,252,711
MPNet-Personality,2,7,6,0.1511309609566345,0.10189412336085478,0.2924449400613326,0.2924449400613326,0.9967948395738516,223,901
MPNet-Personality,2,7,7,0.15162144749087264,0.10200346753997303,0.29523278505715084,0.29523278505715084,0.9967681472363205,206,1028
MPNet-Personality,2,7,8,0.1405932046617747,0.09026128266033254,0.3178143295232785,0.3178143295232785,0.9960169485943711,176,1107
MPNet-Personality,2,7,9,0.13572070049393803,0.08496732026143791,0.3370504599944243,0.3370504599944243,0.995486568381089,157,1094
MPNet-Personality,2,7,10,0.13557275371864538,0.08440404592673592,0.3442988569835517,0.3442988569835517,0.9953558799233063,146,1187
MPNet-Personality,2,7,11,0.13026627070015603,0.07948402948402948,0.3607471424588793,0.3607471424588793,0.9948050471397081,133,1217
MPNet-Personality,2,8,2,0.1533070521243977,0.10384729502522005,0.2927237245609144,0.2927237245609144,0.9968589705146733,257,555
MPNet-Personality,2,8,3,0.15498575498575498,0.10408495168851048,0.3033175355450237,0.3033175355450237,0.9967535877794852,245,570
MPNet-Personality,2,8,4,0.15598548972188633,0.10275245596955483,0.32366880401449677,0.32366880401449677,0.9964856244429707,233,600
MPNet-Personality,2,8,5,0.1497668221185876,0.09839796900989232,0.31335377752996935,0.31335377752996935,0.9964298131917692,217,739
MPNet-Personality,2,8,6,0.15204359673024523,0.1006039844947264,0.31112350153331475,0.31112350153331475,0.9965414356941724,198,910
MPNet-Personality,2,8,7,0.14300840859545313,0.09207571382739814,0.3200446055199331,0.3200446055199331,0.9960758797291802,181,949
MPNet-Personality,2,8,8,0.14138802374096493,0.08957557706626955,0.3353777529969334,0.3353777529969334,0.9957614647922868,167,1054
MPNet-Personality,2,8,9,0.13211466555878687,0.08117939881294275,0.35461388346807915,0.35461388346807915,0.995009226189135,150,1028
MPNet-Personality,2,8,10,0.1302320867538259,0.07958134638013253,0.3582380819626429,0.3582380819626429,0.9948480322027453,141,1118
MPNet-Personality,2,8,11,0.11876256226514026,0.07041815638115964,0.3788681349316978,0.3788681349316978,0.9937810320089658,125,1148
MPNet-Personality,2,9,2,0.14854041172966176,0.09739583333333333,0.3127962085308057,0.3127962085308057,0.9963954944720862,232,570
MPNet-Personality,2,9,3,0.14558239468715412,0.09497111790689772,0.3116810705324784,0.3116810705324784,0.9963067511161383,224,595
MPNet-Personality,2,9,4,0.15232652046965273,0.09800159872102318,0.3417897964873153,0.3417897964873153,0.9960883592636104,209,599
MPNet-Personality,2,9,5,0.14685357870684865,0.09432016500079328,0.33147477000278786,0.33147477000278786,0.9960422543169656,191,756
MPNet-Personality,2,9,6,0.13770826249574974,0.08642150935343908,0.33872316699191524,0.33872316699191524,0.9955475794383031,171,842
MPNet-Personality,2,9,7,0.12977060236039442,0.07944451394970599,0.3540563144689155,0.3540563144689155,0.9948986436479343,159,863
MPNet-Personality,2,9,8,0.13362314340423329,0.08204117946110828,0.35991078896013384,0.35991078896013384,0.9949925868098948,150,973
MPNet-Personality,2,9,9,0.13254965545196595,0.08099572728961546,0.36465012545302483,0.36465012545302483,0.9948553119311628,143,1028
MPNet-Personality,2,9,10,0.12696464813328928,0.07642045454545454,0.37496515193755225,0.37496515193755225,0.9943651435510446,130,1088
MPNet-Personality,2,9,11,0.11599850752456366,0.06813090484075192,0.3900195149149707,0.3900195149149707,0.9933667807966311,114,1126
MPNet-Personality,2,10,2,0.14384656366542356,0.09131218998947843,0.33872316699191524,0.33872316699191524,0.9958086097001341,199,610
MPNet-Personality,2,10,3,0.13700477662264682,0.08579673423423423,0.33983830499024253,0.33983830499024253,0.9954973146468482,191,610
MPNet-Personality,2,10,4,0.1443628938800287,0.08999587174900234,0.36465012545302483,0.36465012545302483,0.9954151577118496,184,610
MPNet-Personality,2,10,5,0.141287284144427,0.08842725805319672,0.3512684694730973,0.3512684694730973,0.9954973146468482,177,706
MPNet-Personality,2,10,6,0.12882640343005286,0.07844089612045413,0.36018957345971564,0.36018957345971564,0.994738142969013,153,815
MPNet-Personality,2,10,7,0.12697313078331438,0.07718686078690891,0.35768051296347925,0.35768051296347925,0.9946826783715456,145,896
MPNet-Personality,2,10,8,0.13254403696217154,0.08010005235297539,0.38388625592417064,0.38388625592417064,0.9945180178478141,133,978
