model,threshold,trial,precision,recall,f1,pos_acc,neg_acc,num_initial_seeds,model_name
SentenceTransformer,0.85,1,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,2,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,3,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,4,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,5,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,6,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,7,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,8,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,9,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.85,10,0.9179331306990881,0.16838583774742125,0.2845700824499411,0.16838583774742125,0.9999812806983548,10,all-mpnet-base-v2
SentenceTransformer,0.9,1,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,2,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,3,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,4,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,5,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,6,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,7,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,8,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,9,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.9,10,0.9636363636363636,0.07387789238918316,0.13723459347488348,0.07387789238918316,0.9999965334626583,10,all-mpnet-base-v2
SentenceTransformer,0.95,1,0.9565217391304348,0.018399776972400333,0.036105032822757115,0.018399776972400333,0.9999989600387975,10,all-mpnet-base-v2
